	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Ankrd39|Ankrd39	1825	248	1178	1214	277	1220	792	721	1249	1051
Sema4c|Sema4c	847	1330	2497	501	509	199	2082	2636	2806	699
Cox5b|Cox5b	5608	1975	2423	4525	2547	3281	4104	4529	3084	2882
4933424G06Rik|4933424G06Rik	0	0	45	0	0	0	0	5	0	0
Gm33533|Gm33533	259	147	249	328	535	276	599	225	373	60
Actr1b|Actr1b	5303	1724	2678	1977	2183	1893	4909	4537	3985	3790
Vwa3b|Vwa3b	0	0	0	87	94	23	384	42	0	53
Gm39626|Gm39626	0	0	0	0	0	0	0	0	0	0
Gm37020|Gm37020	0	0	0	0	99	0	0	0	0	0
Tmem131|Tmem131	4831	1328	4131	4604	3028	4938	3826	3608	3925	1935
Inpp4a|Inpp4a	9419	9360	14159	13040	8384	12536	9362	14847	15063	8812
4930439A04Rik|4930439A04Rik	0	0	9	430	390	678	173	267	403	82
Unc50|Unc50	6524	5688	6730	10495	3304	9843	5659	7558	7298	3812
Coa5|Coa5	1390	1818	1795	810	577	2277	1316	992	1813	543
2010300C02Rik|2010300C02Rik	0	0	32	0	163	576	0	458	98	8
LOC102637491|LOC102637491	0	201	84	0	0	0	0	0	25	36
LOC102637336|LOC102637336	0	0	0	0	0	0	27	0	56	0
Gm39628|Gm39628	0	73	64	0	73	59	69	0	0	153
Lipt1|Lipt1	125	0	288	264	768	259	0	214	604	242
Mgat4a|Mgat4a	2440	1707	2272	4140	2287	4058	3292	1892	2871	1463
Gm39627|Gm39627	0	0	40	0	0	0	0	0	0	0
4930594C11Rik|4930594C11Rik	177	502	132	14	6	118	131	28	153	125
Tsga10|Tsga10	1743	1398	881	897	363	850	1638	1074	1014	1398
Mitd1|Mitd1	3170	1112	1512	2660	1085	638	2056	2063	1248	1481
Mrpl30|Mrpl30	2800	1061	969	2058	1545	2035	1519	2535	2996	1586
Txndc9|Txndc9	2435	2096	1648	1808	2359	3142	2945	2646	3427	2246
Rev1|Rev1	3608	1891	1810	1127	1760	964	3829	2268	3482	4447
Eif5b|Eif5b	6079	5267	4009	4380	6434	5220	6485	5100	6159	5940
Gm34448|Gm34448	0	63	6	10	0	13	45	13	24	0
Lonrf2|Lonrf2	729	1187	1852	2792	439	1574	1428	2840	2056	834
Aff3|Aff3	906	118	191	482	1444	1166	374	376	379	544
Gm16150|Gm16150	870	146	1018	0	569	346	48	476	560	599
LOC108167619|LOC108167619	136	990	1019	430	516	292	542	888	1146	886
Pdcl3|Pdcl3	1860	1137	1107	3366	1127	1645	1663	2485	2999	1782
Chst10|Chst10	17740	7562	13561	8364	1805	7170	7193	17564	14334	4982
Npas2|Npas2	112	0	21	17	5	257	27	92	130	285
Cnot11|Cnot11	310	628	607	0	452	34	427	407	498	998
Tbc1d8|Tbc1d8	1185	765	2153	2154	1175	436	2176	1805	2150	1225
Rpl31|Rpl31	3134	1469	2230	1760	1878	2439	2221	2985	1572	2296
Snord89|Snord89	23	0	23	0	37	52	11	23	5	36
Rnf149|Rnf149	3674	2047	2971	3866	4560	3905	3314	3587	2748	3363
Rfx8|Rfx8	0	8	0	0	0	11	8	6	20	0
Creg2|Creg2	6982	3210	5546	5151	2216	3975	3582	6246	7948	2533
D930019O06Rik|D930019O06Rik	635	159	262	792	173	511	406	577	787	239
Map4k4|Map4k4	1995	185	430	443	1053	629	843	466	703	909
Il1r2|Il1r2	0	0	0	321	0	217	184	0	32	10
Gm16894|Gm16894	767	485	597	607	424	810	512	604	694	296
Il1r1|Il1r1	112	0	130	716	0	328	131	140	229	38
Il1rl2|Il1rl2	0	709	0	0	0	0	439	0	270	0
Slc9a2|Slc9a2	363	0	182	0	0	14	18	84	223	188
Gm37915|Gm37915	0	0	7	30	77	0	52	4	31	0
Mfsd9|Mfsd9	4209	362	1696	1461	1487	1016	540	2425	1632	1015
Gm28175|Gm28175	79	186	90	353	7	0	0	283	502	86
Gm30248|Gm30248	0	0	30	359	86	0	31	0	37	129
LOC108167623|LOC108167623	17	89	32	28	0	17	47	15	0	17
Gm42411|Gm42411	385	273	90	26	85	293	293	316	263	481
Pantr1|Pantr1	614	277	190	222	199	258	199	282	261	199
Pou3f3|Pou3f3	339	131	211	231	347	296	226	446	567	568
2900092D14Rik|2900092D14Rik	1196	472	543	900	585	215	634	385	449	391
Pantr2|Pantr2	108	83	86	90	27	83	66	136	98	110
LOC108167622|LOC108167622	0	0	0	312	0	0	11	107	160	50
Mrps9|Mrps9	785	0	1001	1501	1492	1411	892	1090	749	898
Tgfbrap1|Tgfbrap1	873	207	1700	492	470	848	640	717	1908	1175
Gm28782|Gm28782	0	0	0	0	36	0	0	8	0	0
LOC108167597|LOC108167597	124	0	0	11	135	0	0	114	0	10
AI597479|AI597479	389	619	1420	428	376	784	1260	1343	1436	1081
Gpr45|Gpr45	1483	1297	523	801	155	776	572	1709	1414	344
Gm39633|Gm39633	134	52	97	92	62	112	102	147	154	127
Fhl2|Fhl2	267	90	0	298	143	109	249	356	83	56
Gm8210|Gm8210	0	0	0	0	0	0	0	4	0	0
1500015O10Rik|1500015O10Rik	39	0	0	0	0	20	0	75	4	0
Nck2|Nck2	0	13	0	21	26	0	0	65	45	30
LOC102632770|LOC102632770	14	9	25	23	3	11	32	5	18	12
Uxs1|Uxs1	5836	4323	4225	4814	3444	2244	2419	4746	5542	2997
Ccdc168|Ccdc168	249	0	178	105	53	297	63	555	103	188
Tex30|Tex30	359	166	457	138	316	354	260	316	426	224
Tpp2|Tpp2	4874	2795	3510	2189	3063	1758	4125	3653	3527	3350
Bivm|Bivm	2893	88	2053	2620	1063	1191	2331	2739	1766	1820
Kdelc1|Kdelc1	4679	2643	1294	4367	1558	3546	2968	2410	2372	2325
Ercc5|Ercc5	757	1467	1488	2263	1162	1862	1089	1108	1832	1206
Gm39635|Gm39635	0	0	0	0	0	0	0	0	0	0
Gulp1|Gulp1	397	127	143	0	71	1	609	372	434	20
4930521E06Rik|4930521E06Rik	0	0	0	0	2	0	0	0	0	0
Wdr75|Wdr75	2342	2366	1808	2376	1957	2005	3037	2496	2260	2987
Slc40a1|Slc40a1	1029	411	537	272	125	1315	1073	1264	1028	308
Dnah7b|Dnah7b	1990	949	659	435	1199	557	839	1101	1501	1829
Gm31046|Gm31046	73	0	0	0	0	0	0	40	38	58
Dnah7c|Dnah7c	104	46	84	389	150	30	120	140	154	0
Slc39a10|Slc39a10	9788	9038	9658	15122	3414	9303	6444	16330	13373	4683
Nabp1|Nabp1	756	221	865	1708	439	591	162	840	883	705
Myo1b|Myo1b	1480	251	823	340	176	466	394	242	687	815
Gm31812|Gm31812	0	0	57	132	0	289	62	18	0	0
Stat4|Stat4	73	0	0	0	0	73	11	0	0	0
9330175M20Rik|9330175M20Rik	0	81	45	0	63	13	0	14	16	22
Tmeff2|Tmeff2	17723	10854	19801	23014	7852	15958	13827	23163	20839	8861
Sdpr|Sdpr	800	0	386	77	309	483	309	656	796	393
Gm31955|Gm31955	0	0	0	0	0	0	7	0	0	25
Nab1|Nab1	392	391	630	333	1183	543	1105	939	1347	650
Tmem194b|Tmem194b	477	390	695	1730	782	905	1714	725	736	851
Gm28178|Gm28178	0	0	0	0	0	0	0	0	0	0
Stat1|Stat1	2418	2631	2153	2722	774	1211	1666	1472	1428	1456
Gls|Gls	5629	6844	8993	6200	6075	6312	10913	7883	7587	10931
Hibch|Hibch	648	221	539	410	323	141	773	592	822	431
1700019D03Rik|1700019D03Rik	3777	1515	2002	1810	1102	1052	1192	2311	2091	1699
1700019A02Rik|1700019A02Rik	68	0	6	8	6	0	94	0	6	0
Pms1|Pms1	1301	2045	1022	1271	1118	1245	375	612	830	645
Ormdl1|Ormdl1	1513	1498	991	2375	874	1642	868	2501	1410	497
Inpp1|Inpp1	3302	740	1521	3465	1031	1788	2738	2337	3149	1936
Mfsd6|Mfsd6	15531	12135	13168	13704	10650	16312	11130	14372	21022	8584
Osgepl1|Osgepl1	1718	1177	895	777	848	1552	1225	1600	1526	1705
Asnsd1|Asnsd1	1836	985	797	1753	382	563	516	543	728	542
Dnah7a|Dnah7a	72	35	90	99	45	158	175	130	323	94
Gm32311|Gm32311	427	213	460	256	461	32	573	245	466	438
Stk17b|Stk17b	0	169	0	413	255	0	0	266	100	0
Ccdc150|Ccdc150	0	0	133	0	76	93	0	24	56	59
Gtf3c3|Gtf3c3	2041	1587	961	2966	938	2198	2048	2329	1642	1964
Hecw2|Hecw2	1984	1665	2137	1292	1730	2120	2334	2103	2829	1861
Mir7681|Mir7681	0	6	11	9	18	32	0	7	2	6
Ankrd44|Ankrd44	1177	694	325	1179	525	701	1713	1787	1094	1121
4930444A19Rik|4930444A19Rik	0	42	0	27	139	67	0	65	5	0
Pgap1|Pgap1	6301	8678	7997	7931	5090	12079	12537	9017	9964	8429
Coq10b|Coq10b	2134	1007	558	1988	516	613	719	925	746	744
Hspd1|Hspd1	3784	3595	4090	4639	3005	4069	3390	2689	3859	3285
Hspe1|Hspe1	2129	492	1265	1768	1667	1247	1020	1323	1646	1014
Mob4|Mob4	2678	1378	2198	2536	3113	4139	2476	3314	2566	3141
Mars2|Mars2	776	380	1757	244	253	0	791	602	791	331
Rftn2|Rftn2	1484	316	309	0	194	0	903	259	460	203
Gm10561|Gm10561	85	92	93	0	0	0	0	41	15	0
Boll|Boll	29	93	11	70	0	94	39	49	10	14
Sf3b1|Sf3b1	25366	14494	17981	22417	18757	22671	24369	21160	21750	16525
1700066M21Rik|1700066M21Rik	1162	950	1157	1302	290	126	1261	1505	670	782
LOC108167625|LOC108167625	0	0	0	0	0	21	0	10	21	54
Gm39642|Gm39642	0	0	175	0	195	114	285	23	98	156
Plcl1|Plcl1	332	137	605	61	913	273	539	740	722	455
Gm6644|Gm6644	45	13	86	6	0	56	19	41	53	24
Tyw5|Tyw5	1669	1057	738	2604	1407	1445	1764	1437	1566	2712
9430016H08Rik|9430016H08Rik	824	1289	1149	528	265	1159	896	634	955	639
Sgol2a|Sgol2a	33	40	0	89	153	213	60	75	193	82
Kctd18|Kctd18	1359	1123	508	271	505	1082	1530	706	1035	456
Aox1|Aox1	65	0	0	0	0	0	43	0	27	124
Spats2l|Spats2l	2930	2217	2025	2186	1763	1651	1817	1821	3061	1582
Bzw1|Bzw1	3700	1719	3905	7575	3084	3355	2958	4416	3131	3695
Ppil3|Ppil3	745	505	813	317	528	697	1267	667	525	637
Nif3l1|Nif3l1	851	55	252	1184	457	1037	753	1144	901	250
Clk1|Clk1	9956	4983	8241	15006	12284	14572	19305	11768	9910	16459
Gm20257|Gm20257	6	0	33	0	179	26	99	0	7	20
Ndufb3|Ndufb3	1591	303	795	1735	1336	1806	1222	1347	1059	1304
Cflar|Cflar	431	414	340	5	431	205	393	304	163	301
Orc2|Orc2	1178	928	1756	819	1566	3031	1345	1353	1906	1369
Gm15834|Gm15834	4059	3058	3600	4901	3321	4209	3551	3926	4368	4628
Fam126b|Fam126b	8008	7861	6676	10722	10402	11022	7794	8692	7386	5996
Trak2|Trak2	2998	2309	2928	1133	2207	824	3284	2228	2963	4300
Stradb|Stradb	1105	343	844	2003	1375	1535	1565	1599	1749	889
Als2cr11b|Als2cr11b	0	0	52	0	22	0	0	8	0	79
Tmem237|Tmem237	2960	2132	5337	4667	1495	4501	3845	3008	4245	2075
Mpp4|Mpp4	222	446	191	0	6	137	83	149	206	329
Als2|Als2	2521	928	1262	1176	1812	672	926	841	1460	717
Gm33667|Gm33667	0	0	44	0	74	0	131	0	0	14
Fzd7|Fzd7	0	27	149	250	540	175	166	203	583	780
Gm973|Gm973	47	355	275	285	203	388	131	395	112	260
Gm39649|Gm39649	0	0	0	0	0	0	0	0	0	0
