	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Tgfbrap1|Tgfbrap1	873	207	1700	1904	1444	1370
Gm28782|Gm28782	0	0	0	28	20	15
LOC108167597|LOC108167597	124	0	0	80	72	96
AI597479|AI597479	389	619	1420	906	905	1158
Gpr45|Gpr45	1483	1297	523	775	434	986
Gm39633|Gm39633	134	52	97	108	40	69
Fhl2|Fhl2	267	90	0	118	121	113
Gm8210|Gm8210	0	0	0	0	0	0
1500015O10Rik|1500015O10Rik	39	0	0	61	179	173
Nck2|Nck2	0	13	0	14	24	50
LOC102632770|LOC102632770	14	9	25	7	29	2
Uxs1|Uxs1	5836	4323	4225	3860	4027	4034
Ccdc168|Ccdc168	249	0	178	92	192	81
Tex30|Tex30	359	166	457	203	278	196
Tpp2|Tpp2	4874	2795	3510	2965	3449	2597
Bivm|Bivm	2893	88	2053	983	1346	1354
Kdelc1|Kdelc1	4679	2643	1294	3646	5303	2670
Ercc5|Ercc5	757	1467	1488	2596	2960	2354
Gm39635|Gm39635	0	0	0	0	0	0
Gulp1|Gulp1	397	127	143	239	484	285
4930521E06Rik|4930521E06Rik	0	0	0	3	18	0
Wdr75|Wdr75	2342	2366	1808	1794	2792	1527
Slc40a1|Slc40a1	1029	411	537	582	593	480
Dnah7b|Dnah7b	1990	949	659	1757	2408	1363
Gm31046|Gm31046	73	0	0	22	19	38
Dnah7c|Dnah7c	104	46	84	163	261	304
Slc39a10|Slc39a10	9788	9038	9658	4780	6172	7134
Nabp1|Nabp1	756	221	865	511	641	834
Myo1b|Myo1b	1480	251	823	1620	1698	1244
Gm31812|Gm31812	0	0	57	39	44	0
Stat4|Stat4	73	0	0	22	44	14
9330175M20Rik|9330175M20Rik	0	81	45	47	25	49
Tmeff2|Tmeff2	17723	10854	19801	21753	26410	19156
Sdpr|Sdpr	800	0	386	685	530	826
Gm31955|Gm31955	0	0	0	0	8	0
Nab1|Nab1	392	391	630	1013	1263	914
Tmem194b|Tmem194b	477	390	695	839	1394	704
Gm28178|Gm28178	0	0	0	3	0	0
Stat1|Stat1	2418	2631	2153	2431	3350	2025
Gls|Gls	5629	6844	8993	13559	13928	13582
Hibch|Hibch	648	221	539	648	796	434
1700019D03Rik|1700019D03Rik	3777	1515	2002	2151	2057	1328
1700019A02Rik|1700019A02Rik	68	0	6	14	20	16
Pms1|Pms1	1301	2045	1022	856	910	532
