gene_id,CRV01DA,CRV02DA,CRV03DA,CRV04DA,FT01DA,FT01nDA,FT02DA,FT02nDA,FT03DA,FT03nDA,FT04DA,FT04nDA,MN01DA,MN02DA,MN03DA
Spred1|Spred1,2248,1805,2060,1425,1522,1345,2132,2301,1740,1925,1818,1454,1657,1143,1210
Mir674|Mir674,6,7,6,0,18,11,0,11,23,3,0,9,5,6,0
Fam98b|Fam98b,762,429,383,550,397,299,896,483,444,307,468,427,130,375,493
Rasgrp1|Rasgrp1,239,935,910,340,537,1838,98,1182,236,2095,1171,1488,329,156,358
Thbs1|Thbs1,1714,1092,1446,608,1332,306,561,400,1320,306,1317,579,86,292,623
Gm32929|Gm32929,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4930412B13Rik|4930412B13Rik,6,0,0,0,0,0,0,0,10,0,0,4,0,7,0
Gm13986|Gm13986,133,183,91,466,53,52,39,41,0,24,271,118,157,157,329
Gpr176|Gpr176,1243,2179,2393,1010,1639,1042,113,491,36,742,2232,1199,360,333,449
1700054M17Rik|1700054M17Rik,78,28,33,29,0,22,68,7,34,18,15,3,0,0,0
Bub1b|Bub1b,139,272,459,306,34,320,129,511,469,453,292,318,23,213,0
Plcb2|Plcb2,36,0,35,170,0,173,0,128,49,64,146,67,0,0,35
Pak6|Pak6,1012,1453,1660,1708,1411,1967,963,835,1178,1499,1421,1273,2357,1249,1173
A430105I19Rik|A430105I19Rik,0,496,363,111,0,362,0,208,44,343,329,442,0,0,68
Eif2ak4|Eif2ak4,1955,1910,1952,1412,783,2521,825,1717,949,2096,857,1732,805,1172,1037
Srp14|Srp14,2353,2313,2551,2357,4483,1472,1022,1882,983,1033,1921,1250,3533,1702,1692
Inafm2|Inafm2,4941,4498,4640,2662,3256,3077,2566,3297,441,2033,3704,3595,6611,1607,7549
Bahd1|Bahd1,282,452,707,957,232,623,927,302,0,657,241,639,273,74,237
Rpusd2|Rpusd2,189,1440,1064,639,1428,661,778,1020,401,519,879,808,3251,157,718
Ccdc32|Ccdc32,873,1070,601,1038,1142,384,427,641,1103,454,289,585,281,94,1392
Gm39913|Gm39913,0,0,0,0,0,16,0,26,0,27,0,2,0,75,0
Ivd|Ivd,1883,3005,2812,1967,2860,5460,1679,6093,1303,4215,2318,4253,2606,2416,2012
Spint1|Spint1,25,0,217,93,0,613,118,308,0,411,79,432,416,0,208
Rmdn3|Rmdn3,4253,7522,4910,4029,9165,5917,3518,5430,2203,3943,4073,5274,5672,1976,5370
Dnajc17|Dnajc17,245,356,823,611,326,551,170,623,396,367,354,359,226,507,529
Zfyve19|Zfyve19,524,688,1035,968,1821,1736,311,1067,1071,1124,944,1205,627,1023,362
Gchfr|Gchfr,67,130,0,0,76,27,0,66,0,17,60,35,203,0,275
Gm14137|Gm14137,143,336,452,182,6,376,0,58,0,424,112,506,0,131,154
Disp2|Disp2,26948,52872,59841,19465,31194,22545,22724,12733,18218,18039,54373,27586,20796,16151,22013
Gm14207|Gm14207,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Dll4|Dll4,0,0,153,0,0,124,0,36,0,108,0,141,0,151,0
Rhov|Rhov,441,559,1540,525,1119,585,285,157,32,380,442,516,0,123,17
Vps18|Vps18,2235,2832,3057,1470,3293,1848,1169,900,141,1653,1594,1673,968,1043,851
Chac1|Chac1,381,746,1253,388,865,145,175,112,0,105,517,158,896,480,317
Gm33412|Gm33412,62,20,0,0,0,11,0,2,0,0,0,0,0,0,0
Exd1|Exd1,303,141,134,50,38,176,0,155,0,147,130,67,0,45,77
Ino80|Ino80,1334,781,1029,1591,570,1482,584,1729,315,1656,380,1487,1412,383,626
Chp1|Chp1,2047,3106,2137,1224,2228,2003,1949,1950,761,1307,1361,1838,1785,843,1102
1700020I14Rik|1700020I14Rik,2248,2900,2380,1689,1908,1483,2176,1741,767,1349,1545,2094,2152,1018,1957
Oip5|Oip5,0,33,112,15,0,51,17,58,0,48,151,29,463,86,62
Nusap1|Nusap1,19,109,98,95,43,99,53,148,12,68,144,110,23,275,166
Itpka|Itpka,0,109,66,31,0,42,0,55,0,63,0,175,0,17,154
Ltk|Ltk,403,431,674,533,635,163,272,169,172,213,106,240,155,331,171
Rpap1|Rpap1,567,1007,870,810,242,1077,0,486,62,895,376,769,12,494,184
H3f3c|H3f3c,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4
Rtf1|Rtf1,2557,932,1525,1861,1877,2286,1537,1739,1161,2074,1760,2109,1064,1697,403
Ndufaf1|Ndufaf1,938,1325,1152,297,1088,648,850,944,0,440,817,490,1469,377,1327
Tyro3|Tyro3,1059,1776,3991,1647,3792,5128,730,3103,757,4437,2319,5424,911,1184,1183
Sptbn5|Sptbn5,106,48,0,44,1,82,0,26,15,153,0,102,0,28,0
Mapkbp1|Mapkbp1,1345,754,1459,933,1378,2375,2045,963,1160,2540,1066,2442,1108,769,1005
Mir7665|Mir7665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jmjd7|Jmjd7,0,200,130,0,0,0,62,66,31,66,0,84,0,0,0
Pla2g4b|Pla2g4b,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Gm28042|Gm28042,375,195,136,227,327,557,157,211,0,478,213,340,9,247,30
Pla2g4e|Pla2g4e,362,537,425,45,153,452,253,333,126,491,81,459,417,471,132
Pla2g4d|Pla2g4d,87,0,11,0,0,10,0,11,0,61,0,0,0,0,0
Ehd4|Ehd4,1153,777,1449,1024,1736,880,229,967,1273,636,1438,766,510,1017,938
Mga|Mga,8856,7915,10810,8166,13317,9905,4620,7200,5119,9203,9832,8827,10139,9863,5339
Vps39|Vps39,1065,3135,2847,1012,1546,2631,619,2423,1015,2446,1834,2571,2515,1411,936
Tmem87a|Tmem87a,973,980,1389,792,1845,593,1475,755,459,932,931,947,1084,386,414
Capn3|Capn3,7,64,0,0,0,355,0,352,0,345,0,276,0,22,0
Ganc|Ganc,2045,1568,676,1872,972,1346,858,1734,521,1382,606,995,1263,972,1539
4931402G19Rik|4931402G19Rik,4,0,0,0,0,42,0,56,0,45,0,7,0,0,0
Zfp106|Zfp106,1910,4308,3658,2733,1781,3803,1505,3217,1371,3454,2565,3730,2249,1416,1375
Snap23|Snap23,769,1104,1381,1079,1884,1531,920,1899,570,1366,615,1310,564,855,1253
Lrrc57|Lrrc57,1113,2059,1537,1854,1766,1459,1562,2245,310,950,763,1185,2029,1430,2114
Haus2|Haus2,1261,1487,827,740,808,620,304,795,547,519,929,377,1285,921,701
Stard9|Stard9,891,839,1316,440,642,3405,290,4132,177,3717,653,2369,2667,451,267
LOC108168839|LOC108168839,724,564,588,506,287,296,100,328,596,264,248,360,189,127,152
Cdan1|Cdan1,2719,1187,1861,1675,1194,1566,719,2287,1952,2091,1557,1537,1266,1419,841
Tmem62|Tmem62,1384,3858,3767,2077,1797,2411,2054,3383,1252,1980,3182,2533,5111,1057,4404
Epb42|Epb42,0,0,0,0,0,25,0,10,0,0,0,14,0,0,15
Ccndbp1|Ccndbp1,1966,2890,1605,2881,2798,1653,1098,2422,1100,1355,1524,1520,1701,1045,2159
Ttbk2|Ttbk2,3497,2821,3838,2189,3799,3149,1248,3972,1347,3614,1957,3554,4457,2466,2609
AV039307|AV039307,40,209,255,277,49,134,98,111,386,108,203,156,249,159,352
Ubr1|Ubr1,6424,6269,7052,8100,8018,5941,5074,6831,6033,5533,6189,4656,8674,7161,6660
Adal|Adal,485,924,1148,435,454,1394,503,1287,114,1141,1188,1293,485,784,1228
Lcmt2|Lcmt2,3341,5259,3047,2552,5204,1877,2527,1142,809,1336,3226,1261,1854,1827,2428
Ckmt1|Ckmt1,3256,4464,5956,3756,5526,2451,422,2364,989,2026,2985,2649,5091,1469,3706
Gm33947|Gm33947,0,13,0,14,0,12,0,0,0,0,0,9,0,0,0
Strc|Strc,2,14,50,140,3,71,25,51,0,85,23,111,53,125,353
Zscan29|Zscan29,414,170,1086,596,548,1366,871,1242,279,881,285,1152,0,702,197
Tubgcp4|Tubgcp4,817,529,1050,1175,2663,1986,1908,1557,1295,1640,1361,1643,1520,457,766
Trp53bp1|Trp53bp1,5566,3502,6222,5792,6904,9702,4825,10570,4089,8526,4696,8772,5680,5107,3736
Map1a|Map1a,2577,4096,6825,3278,4392,7377,2487,4688,2448,7355,3796,6348,3000,3351,3568
Ppip5k1|Ppip5k1,1900,1434,2303,1794,1299,2659,785,2152,1001,1951,606,1884,1850,1579,491
Frmd5|Frmd5,1572,1292,2635,2242,2360,5031,650,3878,108,3695,1063,3422,502,450,432
Gm39916|Gm39916,56,29,9,0,5,11,0,15,9,21,26,7,86,24,0
