	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Ogt|Ogt	20734.4062808619	18125.3594749223	18057.0192082048	28440.9092294439	30553.1431277388	27895.349371486
Gm32262|Gm32262	131.021865025879	167.072191414947	264.933819544447	561.732280656415	674.801145742098	449.16738095531
Phka1|Phka1	2305.82791204227	4133.3923261871	3022.02494905737	5839.4457018564	6001.46160304681	6144.49234208799
Gm27321|Gm27321	0	0	0	40.385980962226	8.1739035150456	26.42161064443
Rlim|Rlim	6814.70610547776	7022.29415569279	7484.38040213063	3507.15530128785	4772.65144128496	3727.40425720866
C77370|C77370	3447.36571810606	7011.76992316272	4723.33503650511	2047.75280742559	1404.0949815845	2028.59255058901
Pgk1|Pgk1	5749.27081981821	3104.64859637223	3710.06203265041	1691.62188439506	2637.44620085471	1589.21095135386
Sh3bgrl|Sh3bgrl	895.969879398526	1353.67940918094	965.822170503451	223.958621699617	623.033090146809	310.209280529048
Pou3f4|Pou3f4	1430.25664636034	1161.61216550707	2504.02001830629	856.366369039927	921.834674196809	721.212112775737
Klhl4|Klhl4	255.767233523572	77.6162149093059	39.5423611260369	417.627757677564	1102.56876302948	624.33287374616
Gm30577|Gm30577	112.192375441322	102.611267168235	74.1419271113192	163.379650256278	272.46345050152	286.723404400666
Pcdh19|Pcdh19	7056.35122181291	10290.0683562812	9197.55319791618	3357.54359908688	4359.41520802432	4875.27645298334
Tspan6|Tspan6	4999.22948470001	5985.65725148037	10425.3435108796	2586.53850798983	3192.36342837614	2816.34797906183
Sytl4|Sytl4	0	0	0	67.0040138691476	28.1545565518237	36.2073923645892
Srpx2|Srpx2	3213.56622243114	1266.85449080782	2003.80915006192	290.044772365077	339.671101625228	242.687386659949
Xkrx|Xkrx	0	0	0	108.30785803506	150.763109277508	110.5793334378
Tmem35|Tmem35	4727.77100985597	5784.38130434268	6162.67698149285	1749.44726622733	2623.82302832964	2575.61774874591
Cenpi|Cenpi	0	0	0	41.3038441659129	39.0530945718845	42.0788613966848
Btk|Btk	0	0	0	100.047089201878	165.294493304255	47.9503304287803
Gla|Gla	2017.10907174572	2033.80793643707	2086.8481084266	769.169364689667	1328.71342694575	946.285092339399
Zmat1|Zmat1	1159.58273358233	1944.35195993143	1707.24144161664	3232.71420338545	4232.26559779028	2816.34797906183
Bex2|Bex2	4900.37466438108	2465.30147017016	3736.75312641049	1929.34845414998	2269.62054267766	1585.2966386658
Arxes1|Arxes1	4487.69501765286	5118.72359681541	6257.57864819534	2589.2920976009	3876.24668913496	3030.65659873332
Morf4l2|Morf4l2	3730.59262394045	3271.72078778718	3539.0413207803	2613.15654089676	2820.9049241924	2607.91082842244
Glra4|Glra4	0	0	0	43.1395705732868	19.9806530367781	30.3359233324937
Plp1|Plp1	46617.1088389681	41297.0884480158	33274.89688756	437726.208248697	784088.052161261	432357.36511642
Mum1l1|Mum1l1	837.127724446784	909.03058478526	1455.15888943816	342.362974975234	358.743543160335	337.609469345494
Morc4|Morc4	1101.52514069661	544.629033431401	979.661996897564	408.449125640694	374.183138688754	236.815917627854
Rnf128|Rnf128	8747.08247409297	8746.95276155889	9420.96753827829	4518.64055175087	4917.96528155244	5595.50998758706
Prps1|Prps1	1478.89949445378	2550.81085947702	2561.35644193904	867.380727484171	1375.032213531	795.584053848947
Tsc22d3|Tsc22d3	4770.13736142122	6323.74822150904	5190.92345682049	7599.90732652797	8880.49206334621	7667.15997774477
Kcne1l|Kcne1l	0	0	0	96.3756363871301	138.956359755775	54.8003776328918
Acsl4|Acsl4	11154.9034547183	15757.4071556554	12285.8116018597	2516.78090450963	4280.40080737888	7117.19904507182
Zcchc16|Zcchc16	217.323692288434	209.169121535248	225.39145841841	415.79203127019	386.898099712158	374.795439882099
Apex2|Apex2	185.156647581482	635.400539003301	202.654600770939	1237.27959857001	999.032651838906	1081.3288800776
Tspyl2|Tspyl2	8658.42696063234	5550.2171305485	5891.8118077795	15208.9932850928	9308.25968063359	11795.78128548
Sat1|Sat1	3856.90711657019	3200.68221820917	2567.28779610795	6107.46175733299	11272.7211587496	7674.9886031209
Prdx4|Prdx4	3109.21946765005	3563.76824049677	2906.36354276371	2013.79186888918	2508.48016761733	1999.23520542853
Ptchd1|Ptchd1	14016.985871571	17868.8313070017	13835.8721580003	7674.25424602662	10368.1425030845	8854.17530040009
LOC102639025|LOC102639025	0	0	0	15.6036744626782	44.5023635819149	14.6786725802389
Yy2|Yy2	830.066665852575	1080.04936339899	180.906302151619	101.882815609252	215.246125896201	194.737056231169
Cnksr2|Cnksr2	2490.98455962375	3853.18463507385	2397.25564326599	1112.45020286859	810.124659491186	1594.10384221394
Map7d2|Map7d2	2487.84631135965	2356.11255767062	1406.71949705876	4251.54235947797	5228.57361512417	4442.7449009523
A830080D01Rik|A830080D01Rik	6552.662375426	5847.52669952313	6690.56750252544	3883.4792147995	4341.25097799088	3327.16578485414
Pdha1|Pdha1	3908.68821292772	3755.83548417065	3919.63654661841	2402.96586725244	2572.96318423602	2300.63728240944
Piga|Piga	77.6716445362995	477.53705105217	272.842291769655	844.434147391997	1186.12422118328	966.835233951734
Glra2|Glra2	3876.52116822077	4642.5020748295	5647.63772782622	1408.00215445579	1999.88172668116	2220.39387230413
Gpm6b|Gpm6b	12054.0115823809	13086.8831511487	11864.6854558674	32976.0713188612	49480.2708225777	38552.0656647394
Tceanc|Tceanc	915.583931049107	1131.3549969831	512.073576582178	277.19468751346	303.342641558359	385.559799774274
Arhgap6|Arhgap6	1203.51820927963	1678.61508854702	1673.63043465951	538.785700564242	453.197539334195	523.53932202852
LOC101055907|LOC101055907	646.47914240314	114.45102876457	436.943090442708	1908.23760046518	2183.34045001885	1999.23520542853
G530011O06Rik|G530011O06Rik	158.481537336692	202.591476203951	525.913402976291	824.241156910884	1088.03737900274	705.554862023482
Vamp7|Vamp7	1672.68632476152	2558.70403387458	2093.76802162365	668.204412284102	1012.65582436398	858.213056857966
Spry3|Spry3	1747.21972103373	952.443043971821	1304.89791715922	256.08383382866	453.197539334195	633.140077294303
Zf12|Zf12	0	0	0	63.3325610543998	66.2994396220365	27.4001888164459
Gm39552|Gm39552	0	0	0	33.0430753327303	66.2994396220365	104.707864405704
Sox17|Sox17	0	0	0	153.283155015721	94.4539961738602	171.251180102787
LOC108167615|LOC108167615	0	0	0	14.6858112589913	61.7583821136779	70.4576283851466
