	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Itga7|Itga7	183.938797316652	334.900598523489	226.91578946072	0	0	0	810.905106531127	767.488551390057	881.384731682674	608.066567807069
Pkd1l1|Pkd1l1	0	0	0	0	175.299985877258	0	95.9651013646304	0	74.6145804599089	42.0417019900334
Hba-a1|Hba-a1	16568.8738043794	8276.64647114348	5783.5396255939	4050.62098956474	7961.97068208693	4970.72630449536	3487.37178359067	3162.33708674607	4210.28314949299	2944.96995403356
Hba-a2|Hba-a2	7960.84086987338	6396.34578248679	2969.59630257067	2207.85312612823	4691.85256318543	2674.74941593016	2117.94978711739	1928.19654577625	2145.94642343551	1630.39771132081
Maml1|Maml1	0	0	19.6910395813022	945.570830371579	386.691145317481	81.6960353140112	429.923654113544	173.711400520383	132.129986231089	164.065178497691
Zfp354a|Zfp354a	421.621029240227	122.711669687996	227.853458012211	1552.52507959658	1054.37785623233	696.007781376511	1697.62264314031	529.030174312076	938.900137453854	1282.78461437882
Pemt|Pemt	14.3820458807259	51.1298623699983	26.2547194417362	242.78169969	88.9389634230206	384.077464723014	242.791706452515	161.077844118901	130.575515804841	179.44628898185
F930015N05Rik|F930015N05Rik	0	0	0	0	0	0	61.4176648733635	94.7516730111181	69.1739339680406	333.257393823436
Nxn|Nxn	455.683769484052	430.769090467236	405.072814243931	472.78541518579	469.185256318543	524.127810975604	112.279168596618	82.1181166096357	157.001513051058	90.2358481737303
Gm29979|Gm29979	0	0	0	86.7077498892857	0	0	30.7088324366817	0	22.5398211805975	0
Mmp28|Mmp28	0	0	0	131.430694569023	0	0	0	123.966772189546	20.9853507543494	0
Hnf1b|Hnf1b	0	0	0	174.328212935301	0	0	0	21.3191264275016	34.1983493774583	0
Gm525|Gm525	0	0	0	0	122.452196017202	164.453058099633	67.1755709552413	0	0	0
Rara|Rara	0	0	0	2.73813947018797	39.9580850161397	192.038732361507	21.1123223002187	489.550310557444	318.666437380861	180.471696347461
Zfp385c|Zfp385c	0	0	0	0	213.969100409006	0	0	153.181871367974	108.812929837367	0
Aoc2|Aoc2	0	0	0	220.876583928496	0	140.050346252591	141.068699006007	6.31677820074121	129.798280591717	552.694570064098
Brca1|Brca1	0	0	0	119.565423531541	0	0	72.9334770371191	58.4301983568562	86.2731086567697	0
Sphk1|Sphk1	58.2851333060997	89.4772591474971	122.834580245266	957.43610140906	184.322779267999	158.08713326997	713.020703139204	965.677467438312	493.544360333773	580.380568935583
Gen1|Gen1	0	0	0	0	81.205140516671	12.7318496593264	312.846230448695	82.9077138847283	2.33170563937215	60.4990345710237
Prps1l3|Prps1l3	2812.06844457351	2257.38342363543	1487.14232266406	2467.06366263936	701.199943509032	1972.37570972398	610.33804467905	960.150286512663	669.199518499808	688.048342324693
