	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Rala|Rala	1631.22678278759	1792.10167606844	1708.43210081584	2262.61591553199	2755.81889562925	2751.14051388612	1730.25077760429	1565.77139650873	1542.03466283812	1107.43995485942
Sfrp4|Sfrp4	252.064277804301	0	68.4498042588124	0	0	0	325.321693626097	145.285898617048	181.095804657904	117.921847045216
Nkapl|Nkapl	818.262715634983	1246.29039526871	637.614615013595	1710.42445571075	1945.05646094693	1201.03781786313	592.10467541977	707.479158483015	757.80433279595	761.877672648654
Zfp322a|Zfp322a	4101.91087513966	4130.01463293661	2789.56394068448	7026.97859365906	5452.34514897648	7229.56863155418	3846.28126269439	2974.41293527402	3304.80412620347	3611.48474168043
F13a1|F13a1	0	30.677917421999	50.6341017804913	0	0	0	0	367.162732918083	0	5.12703682805286
Hrh2|Hrh2	337.59960330546	0	1141.14262716404	0	23.2014687190489	0	354.111224035486	450.860044077904	958.331017781955	169.192215325744
Arl10|Arl10	10379.2954271849	8858.24865560221	13650.5787725999	5420.60343781545	6446.14139244241	5887.41947996686	12616.531876408	14643.8710638683	11703.607839222	8217.61462800312
Rnf44|Rnf44	1288.32853099976	755.443716516725	1313.6736406383	61.1517815008647	578.74774749183	160.209108213191	1397.25187586902	1615.51602483956	1329.84944965525	2211.803687622
Gm31313|Gm31313	236.925282140379	170.006792380244	417.262505413308	0	63.1595537351885	7.42691230127374	324.362042612451	216.349653375386	129.021045378593	820.325892488457
Unc5a|Unc5a	2093.72310032041	3462.76992900814	2790.50160923597	575.009288739474	1430.75723767468	820.143315554943	1393.41327181443	3232.61124422931	4633.87634064559	1877.52088643296
Prr7|Prr7	1063.51444539052	1069.89237009221	487.587646775102	63.8899209710526	116.007343595244	50.9273986373057	434.721909181776	509.29024243476	233.947799150339	590.634642591689
Gm31364|Gm31364	280.828369565753	378.360981537988	205.349412776437	721.043393816166	380.246292895523	925.181075244386	297.491814230354	187.134554196958	236.279504789712	260.453470865085
2210016F16Rik|2210016F16Rik	1136.93857436054	1293.58551796096	775.45189208271	1711.33716886748	1252.87931082864	1622.24984409251	488.462365945969	386.902664795399	965.326134700072	722.912192755453
Kif27|Kif27	170.313701219122	0	0	0	0	0	0	0	31.0894085249621	180.471696347461
Zfp935|Zfp935	230.112734091614	876.877139645471	463.208264436347	2614.92319402951	1540.31972884797	3586.13765404361	343.555062885377	688.528823880792	705.729573516639	334.282801189046
1810034E14Rik|1810034E14Rik	0	0	0	0	0	0	142.988001033299	95.5412702862108	23.3170563937215	57.422812474192
Gm36267|Gm36267	0	0	92.8291865975675	0	0	0	76.7720810917043	0	24.0942916068456	46.1433314524757
Gm36607|Gm36607	0	0	122.834580245266	0	0	0	272.54088787555	0	90.936519935514	267.631322424359
Lrrc14b|Lrrc14b	44.6600372085699	135.494135280496	74.0758155677559	0	0	0	0	116.07079943862	173.323452526663	0
