	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Spns1|Spns1	11141.5438588634	10683.5847422111	11792.1197035455	8568.55111537489	5550.30690579024	4139.97311422431	7473.76209427742	11217.8084872413	8928.10089315598	7193.23266975816
Sh2b1|Sh2b1	305.050762628028	346.404817556739	1365.24541097029	40.1593788960902	253.927185425146	75.330110484348	1109.35657177513	558.245273490504	1038.38624473373	744.445747433275
Tufm|Tufm	1972.61113500903	720.931059416976	948.920574108467	278.377512802444	413.759525489705	520.944848560773	658.320595361365	1133.86168703305	1147.97640978422	2037.4844354682
Atxn2l|Atxn2l	3839.24930037062	1551.79132292945	3479.68799458154	228.178289182331	538.78966247569	292.832542164508	2475.89961520747	2391.69014625564	2750.63541924602	3755.04177286591
Qprt|Qprt	0	0	187.533710298116	0	0	0	119.956376705788	91.5932839107475	0	0
Prrt2|Prrt2	3752.20007530306	2179.41038352118	3529.38442781054	1339.86291407865	784.983024994486	975.047486410082	4053.56588164199	2533.02805849722	4138.77750988557	3225.93157221086
Zfp768|Zfp768	129.438412926533	0	317.869638955307	0	0	0	12.475463177402	165.815427769457	384.731430496405	78.956367152014
Prr14|Prr14	3038.39642974914	2588.44928248117	3202.13810334033	10550.0513786343	10703.6109023879	9915.98890967206	4075.63785495585	3183.65621317357	2996.24174659322	3208.49964699548
Zfp629|Zfp629	1234.58509639284	768.226182109225	326.308655918722	75.7551920085339	15.4676458126992	136.867383837759	654.481991306779	212.401666999923	394.058253053894	470.661980815252
Ctf1|Ctf1	227.841884742026	0	0	0	0	0	181.374041579152	0	56.7381705580557	0
Srcap|Srcap	1478.32292658198	1475.09652937445	1133.64127875211	449.054873110827	854.587431151633	258.880943072971	1160.21807549838	933.303979159513	1303.42345240903	1787.28503825923
Tial1|Tial1	4998.13941844384	5115.54273011833	5397.22018237978	7798.22121109534	12932.240869901	10881.4875088376	11624.2527282977	5877.76211578969	5622.51953173939	11372.7930919868
Zranb1|Zranb1	1927.95109780047	1669.39000638045	2024.42640266816	3021.99326193079	3633.60779549993	3585.076666572	1527.76441372492	1561.03381285817	1832.72063254651	1638.60097024569
Tcerg1l|Tcerg1l	536.677396286034	0	245.669160490532	10.9525578807519	0	0	363.707734171949	100.278853936767	209.853507543494	232.7674719936
