	x	y	pval	padj
Gm36227|Gm36227	DA	nDA	0.00389126543813321	0.0239764508713306
Gm36855|Gm36855	DA	nDA	2.35365293861721e-17	5.15991333733052e-15
Pdzd3|Pdzd3	DA	nDA	0.000623831420363148	0.00547269156807574
Cd3g|Cd3g	DA	nDA	7.0611686776075e-07	1.61420230364118e-05
Cd3d|Cd3d	DA	nDA	1.48602691078409e-05	0.000233200915999425
Cd3e|Cd3e	DA	nDA	1.21531607202375e-07	3.42900569459159e-06
Mpzl2|Mpzl2	DA	nDA	1.68771539420907e-13	1.86867598925482e-11
BC049352|BC049352	DA	nDA	8.29491151695784e-05	0.000999172226298168
Il10ra|Il10ra	DA	nDA	7.86403951229508e-20	2.53534320923596e-17
Gm31432|Gm31432	DA	nDA	0.00712878837825231	0.0385126731435252
Gm39332|Gm39332	DA	nDA	1.31112878940706e-05	0.000210436264740681
Plet1|Plet1	DA	nDA	0.000321596345302942	0.00311686855794713
Gm35658|Gm35658	DA	nDA	3.31196044385313e-09	1.40986619049694e-07
Gm36033|Gm36033	DA	nDA	8.87963353132697e-05	0.00105751595440197
Lctl|Lctl	DA	nDA	2.38384432660753e-05	0.000350274927427727
Gm36365|Gm36365	DA	nDA	7.71437838552574e-05	0.000938005087886195
Rasl12|Rasl12	DA	nDA	1.73616185648762e-12	1.52279401774771e-10
Rbpms2|Rbpms2	DA	nDA	0.000158357404725352	0.00172035152814365
Gm31530|Gm31530	DA	nDA	5.54044519701254e-08	1.73767067316317e-06
Gm26849|Gm26849	DA	nDA	0.00342027220603042	0.0216712796453193
Gm40531|Gm40531	DA	nDA	1.1377488533789e-08	4.29309261835208e-07
Mlip|Mlip	DA	nDA	2.13144948402682e-06	4.26737598523469e-05
Gm40536|Gm40536	DA	nDA	0.000152485861835947	0.00166980397054419
