	x	y	pval	padj
Syvn1|Syvn12	Maintenance	Craving	2.48888261776477e-06	0.0001338632642434
Vps51|Vps512	Maintenance	Craving	3.70880033999167e-05	0.00150254580007845
Gm2518|Gm25182	Maintenance	Craving	1.90552659786179e-06	0.000105519944769761
Fads2|Fads22	Maintenance	Craving	0.000941689233743592	0.0215471850708788
Myrf|Myrf2	Maintenance	Craving	0.000160232749711968	0.00527078449272216
Gng3|Gng32	Maintenance	Craving	0.000253329247179745	0.00761085637153016
Dagla|Dagla2	Maintenance	Craving	0.00134203127777241	0.0285440902568935
Gm30042|Gm300422	Maintenance	Craving	2.55279368272239e-14	1.22514459896192e-11
Ddb1|Ddb12	Maintenance	Craving	0.000438674668990154	0.0117893756090582
Tmem132a|Tmem132a2	Maintenance	Craving	0.000100917093373056	0.00357739628155964
Ptgdr2|Ptgdr22	Maintenance	Craving	1.70279542643828e-10	2.97861887819115e-08
Cep78|Cep782	Maintenance	Craving	9.31088926988828e-05	0.00334495037359883
Cstf2t|Cstf2t2	Maintenance	Craving	0.0024712474532669	0.0454811588818058
8430431K14Rik|8430431K14Rik2	Maintenance	Craving	0.00196944419298155	0.0382386794191242
Pank1|Pank12	Maintenance	Craving	0.00264162840508889	0.0478175617582676
Gm32771|Gm327712	Maintenance	Craving	1.81994334566004e-06	0.000101380594049759
LOC108168412|LOC1081684122	Maintenance	Craving	0.000207514198567811	0.00646263436704444
Hif1an|Hif1an2	Maintenance	Craving	0.00261919279136534	0.0475955645397914
Lzts2|Lzts22	Maintenance	Craving	6.22393893047896e-05	0.0023534033325611
Hps6|Hps62	Maintenance	Craving	5.3683483969232e-10	7.87608033034979e-08
Pitx3|Pitx32	Maintenance	Craving	3.00811788618238e-06	0.000157948000788106
Arl3|Arl32	Maintenance	Craving	0.0011589637615783	0.0254604750298838
Wbp1l|Wbp1l2	Maintenance	Craving	0.00181406364979132	0.0361210950352598
Ina|Ina2	Maintenance	Craving	0.00246015606255077	0.0453325490877843
Pdcd11|Pdcd112	Maintenance	Craving	0.000372824597203193	0.0103687340057239
Smc3|Smc32	Maintenance	Craving	7.62188600600594e-05	0.00281378383381486
Pdzd8|Pdzd82	Maintenance	Craving	0.000131046909178502	0.00447696595188385
4930447M23Rik|4930447M23Rik2	Maintenance	Craving	0.00194060178475894	0.0377962992771417
Etl4|Etl42	Maintenance	Craving	0.000775423425546868	0.0184416775806362
Nrarp|Nrarp2	Maintenance	Craving	0.000150002792750427	0.00500463863085514
Nsmf|Nsmf2	Maintenance	Craving	3.39620135258561e-05	0.00138791922961452
Man1b1|Man1b12	Maintenance	Craving	0.00127720852032494	0.0274145778382132
AA543186|AA5431862	Maintenance	Craving	0.00249059825256903	0.0457024779346417
Grin1|Grin12	Maintenance	Craving	0.00227414237019692	0.0425651227429758
Clic3|Clic32	Maintenance	Craving	0.0016077873354914	0.0327097343026005
Nacc2|Nacc22	Maintenance	Craving	0.00256770155690928	0.046879004771643
Lhx3|Lhx32	Maintenance	Craving	8.8488453692855e-16	6.13421625099692e-13
Gpsm1|Gpsm12	Maintenance	Craving	0.000342479108071743	0.009683053573684
Fam69b|Fam69b2	Maintenance	Craving	6.21216388344482e-07	3.82477208573805e-05
Surf1|Surf12	Maintenance	Craving	0.000466143380071004	0.0123580816498428
Barhl1|Barhl12	Maintenance	Craving	0.00222271558072524	0.0418536896624088
6530402F18Rik|6530402F18Rik2	Maintenance	Craving	5.90026008076751e-19	1.10435167931725e-15
Set|Set2	Maintenance	Craving	0.00253009904621489	0.0463364616908064
